source_file,source_section,source_line_or_heading,required_style,category,country,region,appellation_or_style,grape_or_blend,requirement_level,notes
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1520,Bordeaux AC genérico tinto,tinto,France,Bordeaux,Bordeaux AC,Cabernet Sauvignon / Merlot / Cabernet Franc,Imprescindible,"Linea textual ""Bordeaux AC generico"" bajo categoria Tinto."
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1521,Cru Bourgeois o Haut-Médoc Cru Classé,tinto,France,Bordeaux,Haut-Médoc / Médoc,Cabernet Sauvignon-dominant blend,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1522,Saint-Émilion Grand Cru o Pomerol,tinto,France,Bordeaux,Saint-Émilion Grand Cru / Pomerol,Merlot-dominant blend,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1526,Sauternes o Barsac,dulce,France,Bordeaux,Sauternes / Barsac,Sémillon / Sauvignon Blanc / Muscadelle,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1532,"Saint-Émilion, Pomerol o Haut-Médoc de añada más antigua",tinto,France,Bordeaux,Saint-Émilion / Pomerol / Haut-Médoc,Bordeaux blend,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1536,Bordeaux AC genérico blanco seco,blanco,France,Bordeaux,Bordeaux AC,Sauvignon Blanc / Sémillon,Opcional,"Linea textual ""Bordeaux AC generico"" bajo categoria Blanco Seco."
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1537,Graves o Pessac-Léognan blanco seco con roble,blanco,France,Bordeaux,Graves / Pessac-Léognan,Sauvignon Blanc / Sémillon,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1544,Cahors o Madiran,tinto,France,Dordogne / South West France,Cahors / Madiran,Malbec / Tannat,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1562,Bourgogne Rouge AC,tinto,France,Burgundy,Bourgogne Rouge,Pinot Noir,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1563,Côte d’Or Village o Premier Cru tinto,tinto,France,Burgundy,Côte d’Or Village / Premier Cru,Pinot Noir,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1564,"Beaujolais AC, Beaujolais Villages o Cru",tinto,France,Beaujolais,Beaujolais / Villages / Cru,Gamay,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1566,Chablis Village o Premier Cru,blanco,France,Burgundy,Chablis,Chardonnay,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1567,Côte d’Or Village o Premier Cru blanco,blanco,France,Burgundy,Meursault / Puligny-Montrachet / Chassagne-Montrachet,Chardonnay,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1569,Otro vino de Beaujolais,tinto,France,Beaujolais,Beaujolais,Gamay,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1571,Mâcon o Mâcon Villages,blanco,France,Burgundy,Mâcon / Mâcon Villages,Chardonnay,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1576-1577,Alsace Riesling seco o casi seco,blanco,France,Alsace,Alsace / Alsace Grand Cru,Riesling,Imprescindible,"Uno de los tres estilos listados bajo ""Al menos uno de los siguientes""."
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1576-1578,Alsace Gewurztraminer seco o casi seco,blanco,France,Alsace,Alsace / Alsace Grand Cru,Gewurztraminer,Imprescindible,"Uno de los tres estilos listados bajo ""Al menos uno de los siguientes""."
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1576-1579,Alsace Pinot Gris seco o casi seco,blanco,France,Alsace,Alsace / Alsace Grand Cru,Pinot Gris,Imprescindible,"Uno de los tres estilos listados bajo ""Al menos uno de los siguientes""."
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1585-1586,Alsace Vendanges Tardives o Sélection de Grains Nobles,dulce,France,Alsace,VT / SGN,Riesling / Gewurztraminer / Pinot Gris / Muscat,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1629,Chenin Blanc seco premium del Loire,blanco,France,Loire Valley,Savennières / Vouvray / Anjou,Chenin Blanc,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1630,Sancerre o Pouilly-Fumé,blanco,France,Loire Valley,Sancerre / Pouilly-Fumé,Sauvignon Blanc,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1632,Cabernet Franc premium del Loire,tinto,France,Loire Valley,Chinon / Bourgueil / Saumur-Champigny,Cabernet Franc,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1634,Muscadet o Muscadet Sur Lie,blanco,France,Loire Valley,Muscadet / Muscadet Sèvre et Maine,Melon Blanc,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1636,Syrah premium del Norte del Ródano,tinto,France,Northern Rhône,Côte-Rôtie / Hermitage / Crozes-Hermitage,Syrah,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1637,Châteauneuf-du-Pape o Gigondas,tinto,France,Southern Rhône,Châteauneuf-du-Pape / Gigondas,Grenache / Syrah / Mourvèdre,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1638,Côtes du Rhône o Côtes du Rhône Villages,tinto,France,Southern Rhône,Côtes du Rhône / Villages,Grenache / Syrah / Mourvèdre,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1640,Syrah del Norte del Ródano de precio medio,tinto,France,Northern Rhône,Crozes-Hermitage / Saint-Joseph,Syrah,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1642,Condrieu,blanco,France,Northern Rhône,Condrieu / Château-Grillet,Viognier,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1644,"Corbières, Fitou o Minervois",tinto,France,South of France,Corbières / Fitou / Minervois,Grenache / Syrah / Carignan / Mourvèdre,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1645,IGP de variedad internacional del sur de Francia,blanco/tinto,France,South of France,Pays d’Oc / IGP,Cabernet Sauvignon / Merlot / Chardonnay / Sauvignon Blanc,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1647-1648,Rosado Côtes de Provence o sur del Ródano,rosado,France,Provence / Southern Rhône,Côtes de Provence / Tavel / Lirac,Grenache / Cinsault / Syrah,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1650,Riesling alemán con azúcar residual (Kabinett o Spätlese),blanco/dulce,Germany,Germany,Kabinett / Spätlese,Riesling,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1651,Riesling seco VDP,blanco,Germany,Mosel / Rheingau / Pfalz / Rheinhessen,VDP / trocken,Riesling,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1653,Riesling Auslese o Beerenauslese botrytizado,dulce,Germany,Germany,Auslese / Beerenauslese,Riesling,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1654,Eiswein,dulce,Germany,Germany,Eiswein,Riesling,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1658,Grüner Veltliner austríaco,blanco,Austria,Niederösterreich,Wachau / Weinviertel / Kamptal / Kremstal,Grüner Veltliner,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1714,Tokaji Aszú,dulce,Hungary,Tokaj,Tokaj,Furmint / Hárslevelű / Sárga Muskotály,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1738,Naoussa o Nemea,tinto,Greece,Naoussa / Nemea,Naoussa PDO / Nemea PDO,Xinomavro / Agiorgitiko,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1740,Barolo o Barbaresco,tinto,Italy,Piemonte,Barolo / Barbaresco,Nebbiolo,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1741,Valpolicella o Valpolicella Classico,tinto,Italy,Veneto,Valpolicella / Classico,Corvina blend,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1742,Amarone della Valpolicella,tinto,Italy,Veneto,Amarone della Valpolicella DOCG,Corvina blend,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1743,Chianti,tinto,Italy,Tuscany,Chianti DOCG,Sangiovese,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1744,Chianti Classico Riserva o Brunello di Montalcino,tinto,Italy,Tuscany,Chianti Classico / Brunello di Montalcino,Sangiovese,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1745,Tinto del sur de Italia (p. ej. Taurasi),tinto,Italy,Southern Italy,Taurasi / Puglia / Basilicata / Sicily,Aglianico / Negroamaro / Primitivo / Nero d’Avola,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1747,Pinot Grigio del Veneto,blanco,Italy,Veneto,Pinot Grigio delle Venezie / Veneto,Pinot Grigio,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1749,"Pinot Grigio Alto Adige, Trentino o Friuli",blanco,Italy,North-East Italy,Alto Adige / Trentino / Friuli,Pinot Grigio,Opcional,
