URL,Título,H1,Descripción,Enlaces salientes
https://epistemiclab.dpdns.org/,"EpistemicLab · Entrena para aprobar WSET Level 3","Aprende a catar a ciegas.No a memorizar vinos.","Entrena la cata a ciegas del WSET Level 3 con razonamiento, no memorización. Pruébalo ahora.",47
https://epistemiclab.dpdns.org/,"EpistemicLab · Entrena para aprobar WSET Level 3","Aprende a catar a ciegas.No a memorizar vinos.","Entrena la cata a ciegas del WSET Level 3 con razonamiento, no memorización. Pruébalo ahora.",47
https://epistemiclab.dpdns.org/dashboard/,"Dashboard — EpistemicLab","Tu entrenamiento","N/A",27
https://epistemiclab.dpdns.org/bottle-lab/,"Bottle Guided — EpistemicLab","Bottle Guided","N/A",27
https://epistemiclab.dpdns.org/full-simulation-v2/,"Full Simulation — EpistemicLab","Cata a ciegas · WSET Level 3","N/A",27
https://epistemiclab.dpdns.org/mentor/,"Mentor Cognitivo — EpistemicLab","Tu Mentor","N/A",27
https://epistemiclab.dpdns.org/login/,"Acceso · EpistemicLab","Continúa tu aprendizaje","N/A",3
https://epistemiclab.dpdns.org/label-lab/,"Label Guided — EpistemicLab","Label Guided","N/A",27
https://epistemiclab.dpdns.org/sat-lab/,"Laboratorio SAT · EpistemicLab","Laboratorio SAT","N/A",1
https://epistemiclab.dpdns.org/adaptive-review/,"Adaptive Review — EpistemicLab","Tu plan de recuperación","N/A",29
https://epistemiclab.dpdns.org/diagnostic-sba/,"WSET L3 · Cabina Diagnóstica SBA v2.2 · PROTOTIPO","N/A","N/A",4
https://epistemiclab.dpdns.org/open-response-lab/,"Open Response Lab Privado","Laboratorio de Respuesta Abierta","N/A",4
https://epistemiclab.dpdns.org/adaptive-session/,"WSET L3 · Sesión Adaptativa · PROTOTIPO","N/A","N/A",4
https://epistemiclab.dpdns.org/learning-loop/,"Learning Loop — EpistemicLab","Tu recorrido, ahora","N/A",27
https://epistemiclab.dpdns.org/profile/,"Mi perfil · EpistemicLab","Tu cuenta y tu aprendizaje, en un solo lugar.","Perfil de estudiante de EpistemicLab.",8
https://epistemiclab.dpdns.org/upgrade/,"Planes de acceso · EpistemicLab","Elige el nivel de práctica que necesitas","N/A",5
https://epistemiclab.dpdns.org/admin/,"Admin Supabase · EpistemicLab","Gestión de estudiantes","N/A",3
https://epistemiclab.dpdns.org/index.html,"EpistemicLab · Entrena para aprobar WSET Level 3","Aprende a catar a ciegas.No a memorizar vinos.","Entrena la cata a ciegas del WSET Level 3 con razonamiento, no memorización. Pruébalo ahora.",47
https://epistemiclab.dpdns.org/full-simulation/,"WSET L3 · Simulacro Completo · PROTOTIPO","Full Simulation","N/A",6
https://epistemiclab.dpdns.org/login/?next=/admin/,"Acceso · EpistemicLab","Continúa tu aprendizaje","N/A",3
